Date,SENT
5/16/18,-0.333333333
5/17/18,0.666666667
5/18/18,-0.125
5/19/18,1
5/20/18,0.333333333
5/21/18,0.375
5/22/18,0.433333333
5/23/18,0.257142857
5/24/18,0.275862069
5/25/18,-0.047619048
5/26/18,0.105263158
5/27/18,0.266666667
5/28/18,0.7
5/29/18,0.32
5/30/18,0.538461538
5/31/18,0.083333333
6/1/18,0.7
6/2/18,-0.066666667
6/3/18,0.833333333
6/4/18,1
6/5/18,0.5
6/6/18,0
6/7/18,0.2
6/8/18,1
6/9/18,0.2
6/10/18,0.25
6/11/18,0
6/12/18,0
6/13/18,0.666666667
6/14/18,0
6/15/18,0.368421053
6/16/18,0.227272727
6/17/18,0.3125
6/18/18,0.25
6/19/18,0.242424242
6/20/18,0.307692308
6/21/18,-0.333333333
6/22/18,0.75
6/23/18,0.105263158
6/24/18,0.25
6/25/18,0.28
6/26/18,0.25
6/27/18,0.466666667
6/28/18,0.363636364
6/29/18,0.142857143
6/30/18,0
7/1/18,0
7/2/18,0
7/3/18,0
7/4/18,0.6
7/5/18,0.451612903
7/6/18,0.2
7/7/18,0.5
7/8/18,0.413793103
7/9/18,0.666666667
7/10/18,0.5
7/11/18,0.375
7/12/18,0.842105263
7/13/18,0.833333333
7/14/18,0.642857143
7/15/18,0.6
7/17/18,1
7/18/18,0.5
7/20/18,0.2
7/21/18,0.368421053
7/22/18,1
7/23/18,0.777777778
7/24/18,1
7/25/18,0.4
7/26/18,0.5
7/27/18,0.333333333
7/28/18,0.5
7/29/18,0.166666667
7/30/18,0.333333333
7/31/18,0.083333333
8/1/18,0.631578947
8/2/18,0
8/4/18,0.5
8/5/18,0.333333333
8/6/18,0.5
8/7/18,0.333333333
8/8/18,-0.25
8/10/18,0.666666667
8/11/18,0.4
8/12/18,0
8/13/18,0.25
8/14/18,0.25
8/16/18,0.25
8/18/18,1
8/19/18,-0.5
8/21/18,-0.333333333
8/22/18,0.666666667
8/23/18,0.833333333
8/24/18,-0.333333333
8/25/18,0.076923077
8/26/18,1
8/27/18,1
8/28/18,0
8/29/18,0
8/30/18,0
8/31/18,1
9/3/18,1
9/5/18,-0.5
9/6/18,0
9/7/18,0.166666667
9/8/18,0.4
9/11/18,0
9/12/18,0.666666667
9/13/18,0
9/14/18,0.444444444
9/15/18,1
9/16/18,0.333333333
9/17/18,0.518518519
9/18/18,0.411764706
9/19/18,0.5
9/20/18,0.5
9/21/18,0
9/22/18,1
9/24/18,-1
9/25/18,0.5
9/26/18,1
9/28/18,0
9/29/18,0.666666667
10/1/18,0
10/2/18,-0.333333333
10/4/18,0.384615385
10/5/18,0.125
10/6/18,0.125
10/7/18,1
10/8/18,0.4
10/9/18,0.125
10/10/18,0.333333333
10/11/18,1
10/12/18,0.75
10/13/18,0.8
10/14/18,0.5
10/15/18,0.625
10/16/18,0.428571429
10/17/18,0.428571429
10/18/18,0.25
10/19/18,0.285714286
10/20/18,-0.111111111
10/21/18,0
10/22/18,0.277777778
10/23/18,0.444444444
10/25/18,0.25
10/26/18,0.588235294
10/27/18,0.37037037
10/29/18,0.666666667
10/31/18,0.333333333
11/1/18,0.636363636
11/2/18,0.307692308
11/3/18,0.458333333
11/6/18,0.4
11/7/18,0.142857143
11/8/18,1
11/9/18,0.833333333
11/10/18,0
11/11/18,0
11/12/18,1
11/14/18,0.5
11/15/18,0.058823529
11/16/18,1
11/17/18,0.4
11/19/18,0.4
11/20/18,0.333333333
11/21/18,0.375
11/22/18,0
11/23/18,1
11/25/18,0
11/26/18,0.333333333
11/27/18,0.25
11/28/18,0.5
11/29/18,0.307692308
11/30/18,0.2
12/1/18,0.235294118
12/2/18,0
12/3/18,-0.25
12/4/18,0
12/5/18,-0.285714286
12/7/18,1
12/8/18,1
12/9/18,0.5625
12/11/18,0.5
12/12/18,1
12/13/18,1
12/14/18,-0.2
12/15/18,0.5
12/16/18,0.5
12/17/18,0
12/18/18,-0.125
12/19/18,0.464285714
12/20/18,0.125
12/21/18,0.285714286
12/22/18,0.25
12/23/18,0.363636364
12/24/18,0.333333333
12/25/18,0.333333333
12/26/18,0.769230769
12/27/18,0.461538462
12/28/18,1
12/30/18,0.5
12/31/18,1
1/1/19,1
1/3/19,0
1/4/19,0.090909091
1/5/19,0.176470588
1/6/19,0.25
1/7/19,0.625
1/8/19,0
1/9/19,0.214285714
1/10/19,0.8
1/11/19,0.333333333
1/12/19,1
1/13/19,0
1/14/19,1
1/15/19,1
1/16/19,0
1/17/19,0.714285714
1/18/19,1
1/19/19,0.25
1/21/19,0.4
1/22/19,0.428571429
1/23/19,0.5
1/25/19,0.647058824
1/26/19,-1
1/27/19,0.7
1/28/19,0.4
1/29/19,1
1/30/19,-0.166666667
1/31/19,0.583333333
2/1/19,0.368421053
2/2/19,0.444444444
2/3/19,0.142857143
2/4/19,0.285714286
2/5/19,0.5
2/6/19,0.4
2/7/19,0.333333333
2/8/19,0.4
2/9/19,0.6
2/10/19,1
2/11/19,0.45
2/12/19,0.5
2/13/19,0.428571429
2/14/19,0.888888889
2/15/19,0.5
2/16/19,0.25
2/17/19,0.4
2/18/19,0.5
2/19/19,1
2/20/19,0
2/21/19,0.125
2/22/19,0.285714286
2/23/19,0
2/25/19,0
2/26/19,0.636363636
2/27/19,0.090909091
2/28/19,0.6
